,lineItem/UsageAccountId,lineItem/ResourceId,bill/BillingPeriodStartDate,lineItem/UsageAmount_ComputeHours,lineItem/UsageAmount_StorageGB,lineItem/UsageAmount_APIRequests,lineItem/UnblendedCost,product/ProductName,lineItem/LineItemDescription
0,Mobile-Backend,ebs-0ab8278,2026-06,0.0,4082.5199999999995,0.0,183.72,EBS,st1 volumes archive
1,Data-Science,cf-0140766,2026-06,0.0,0.0,132289400.39999999,661.452,CloudFront,CDN web distribution
2,Security-Ops,ebs-0bcb202,2026-06,0.0,5751.24,0.0,258.804,EBS,st1 volumes archive
3,Marketing-Platform,rs-0483517,2026-06,764.52,2123.7599999999998,0.0,3875.652,Redshift,Data warehouse cluster
4,Production-Main,sns-114a513,2026-06,0.0,0.0,7967293.199999999,3.972,SNS,Alert notifications
5,Security-Ops,s3-017f436,2026-06,0.0,20708.04,4141602.0,724.776,S3,Data lake raw zone
6,Internal-Tools,rds-0f84794,2026-06,1170.0,1625.1599999999999,0.0,5200.139999999999,RDS,db.r5.2xlarge Aurora cluster
7,DevOps-Central,kin-09fd183,2026-06,1142.8799999999999,0.0,31747297.2,463.52399999999994,Kinesis,Firehose delivery
8,Internal-Tools,sqs-1090601,2026-06,0.0,0.0,72795933.6,36.384,SQS,Order processing queue
9,Mobile-Backend,ebs-0ed8926,2026-06,0.0,3477.48,0.0,156.492,EBS,st1 volumes archive
10,Partner-Integration,rds-09ee347,2026-06,1024.44,711.3599999999999,0.0,2027.3999999999999,RDS,db.r5.large PostgreSQL replica
11,DevOps-Central,sm-00d1740,2026-06,0.0,0.0,1501774.8,6.012,Secrets Manager,Application secrets
12,Production-Secondary,ecs-0b92760,2026-06,601.4399999999999,0.0,0.0,1097.7479999999998,ECS,Fargate API cluster
13,Production-Secondary,nat-0083744,2026-06,855.4799999999999,0.0,0.0,195.15599999999998,NAT Gateway,Staging VPC NAT
14,Marketing-Platform,i-01e6426,2026-06,1125.84,0.0,0.0,82.18799999999999,EC2,t3.micro bastion host
15,Security-Ops,ecs-0ca2184,2026-06,597.24,0.0,0.0,1089.924,ECS,Fargate API cluster
16,Production-Secondary,sqs-0086923,2026-06,0.0,0.0,30714795.599999998,15.36,SQS,Event notification queue
17,Finance-Systems,eks-061d810,2026-06,1022.04,0.0,0.0,3066.096,EKS,Production K8s cluster
18,Production-Main,kin-045b307,2026-06,883.92,0.0,24554203.2,358.488,Kinesis,Firehose delivery
19,Shared-Services,nat-0d7f916,2026-06,803.64,0.0,0.0,366.72,NAT Gateway,Production VPC NAT
20,Customer-Portal,ebs-0b9a537,2026-06,0.0,637.56,0.0,398.424,EBS,io2 volumes database
21,DevOps-Central,ec-0ce8236,2026-06,868.32,0.0,0.0,625.164,ElastiCache,Redis production cluster
22,Partner-Integration,sm-0856857,2026-06,0.0,0.0,1700374.8,6.803999999999999,Secrets Manager,Application secrets
23,Compliance-Audit,elb-0aeb454,2026-06,533.76,0.0,37066440.0,231.288,ELB,Network load balancer
24,Mobile-Backend,ebs-0898961,2026-06,0.0,5076.72,0.0,228.468,EBS,st1 volumes archive
25,Security-Ops,lam-017a794,2026-06,0.0,0.0,4596924.0,32.412,Lambda,Image resizer
26,Partner-Integration,rds-1042178,2026-06,1104.9599999999998,767.28,0.0,2186.88,RDS,db.r5.large PostgreSQL replica
27,Security-Ops,sm-08a6920,2026-06,0.0,0.0,1472137.2,5.892,Secrets Manager,Application secrets
28,Compliance-Audit,sns-0c1d686,2026-06,0.0,0.0,14195696.4,7.092,SNS,Alert notifications
29,Edge-Network,ecs-031f111,2026-06,343.92,0.0,0.0,627.6,ECS,Fargate worker cluster
30,ML-Training,i-0dad813,2026-06,741.72,0.0,0.0,2571.612,EC2,r5.2xlarge database server
31,Marketing-Platform,sm-0a3a425,2026-06,0.0,0.0,1034134.7999999999,4.128,Secrets Manager,Application secrets
32,Compliance-Audit,kin-083d194,2026-06,809.7599999999999,0.0,33737061.6,492.564,Kinesis,Data stream ingestion
33,Partner-Integration,eks-03c5402,2026-06,905.64,0.0,0.0,2716.8360000000002,EKS,Production K8s cluster
34,Edge-Network,lam-0e35921,2026-06,0.0,0.0,23963700.0,167.748,Lambda,Data transformer
35,Marketing-Platform,sm-0d30645,2026-06,0.0,0.0,1279006.8,5.111999999999999,Secrets Manager,Application secrets
36,Marketing-Platform,sm-0e7c136,2026-06,0.0,0.0,962090.3999999999,3.84,Secrets Manager,Application secrets
37,Partner-Integration,elb-0bd4274,2026-06,733.1999999999999,0.0,10183236.0,148.26,ELB,Classic load balancer
38,Internal-Tools,rs-02b6574,2026-06,0.0,0.0,5771301.6,288.56399999999996,Redshift,Spectrum queries
39,Data-Science,rs-0146862,2026-06,866.0400000000001,2405.52,0.0,4390.128,Redshift,Data warehouse cluster
40,ML-Training,lam-055d746,2026-06,0.0,0.0,12442023.6,87.09599999999999,Lambda,Notification dispatcher
41,Security-Ops,lam-09fe233,2026-06,0.0,0.0,29215719.599999998,204.504,Lambda,Data transformer
42,Compliance-Audit,i-1029425,2026-06,720.4799999999999,0.0,0.0,624.468,EC2,m5.large monitoring server
43,Edge-Network,vpn-0c9e800,2026-06,587.76,0.0,0.0,148.992,VPN Gateway,Client VPN endpoint
