lineItem/UsageAccountId,lineItem/ResourceId,bill/BillingPeriodStartDate,lineItem/UsageAmount_ComputeHours,lineItem/UsageAmount_StorageGB,lineItem/UsageAmount_APIRequests,lineItem/UnblendedCost,product/ProductName,lineItem/LineItemDescription
Mobile-Backend,ebs-0ab8278,2026-06,0.0,3402.1,0,153.1,EBS,st1 volumes archive
Data-Science,cf-0140766,2026-06,0.0,0.0,110241167,551.21,CloudFront,CDN web distribution
Security-Ops,ebs-0bcb202,2026-06,0.0,4792.7,0,215.67,EBS,st1 volumes archive
Marketing-Platform,rs-0483517,2026-06,637.1,1769.8,0,3229.71,Redshift,Data warehouse cluster
Production-Main,sns-114a513,2026-06,0.0,0.0,6639411,3.31,SNS,Alert notifications
Security-Ops,s3-017f436,2026-06,0.0,17256.7,3451335,603.98,S3,Data lake raw zone
Internal-Tools,rds-0f84794,2026-06,975.0,1354.3,0,4333.45,RDS,db.r5.2xlarge Aurora cluster
DevOps-Central,kin-09fd183,2026-06,952.4,0.0,26456081,386.27,Kinesis,Firehose delivery
Internal-Tools,sqs-1090601,2026-06,0.0,0.0,60663278,30.32,SQS,Order processing queue
Mobile-Backend,ebs-0ed8926,2026-06,0.0,2897.9,0,130.41,EBS,st1 volumes archive
Partner-Integration,rds-09ee347,2026-06,853.7,592.8,0,1689.5,RDS,db.r5.large PostgreSQL replica
DevOps-Central,sm-00d1740,2026-06,0.0,0.0,1251479,5.01,Secrets Manager,Application secrets
Production-Secondary,ecs-0b92760,2026-06,501.2,0.0,0,914.79,ECS,Fargate API cluster
Production-Secondary,nat-0083744,2026-06,712.9,0.0,0,162.63,NAT Gateway,Staging VPC NAT
Marketing-Platform,i-01e6426,2026-06,938.2,0.0,0,68.49,EC2,t3.micro bastion host
Security-Ops,ecs-0ca2184,2026-06,497.7,0.0,0,908.27,ECS,Fargate API cluster
Production-Secondary,sqs-0086923,2026-06,0.0,0.0,25595663,12.8,SQS,Event notification queue
Finance-Systems,eks-061d810,2026-06,851.7,0.0,0,2555.08,EKS,Production K8s cluster
Production-Main,kin-045b307,2026-06,736.6,0.0,20461836,298.74,Kinesis,Firehose delivery
Shared-Services,nat-0d7f916,2026-06,669.7,0.0,0,305.6,NAT Gateway,Production VPC NAT
Customer-Portal,ebs-0b9a537,2026-06,0.0,531.3,0,332.02,EBS,io2 volumes database
DevOps-Central,ec-0ce8236,2026-06,723.6,0.0,0,520.97,ElastiCache,Redis production cluster
Partner-Integration,sm-0856857,2026-06,0.0,0.0,1416979,5.67,Secrets Manager,Application secrets
Compliance-Audit,elb-0aeb454,2026-06,444.8,0.0,30888700,192.74,ELB,Network load balancer
Mobile-Backend,ebs-0898961,2026-06,0.0,4230.6,0,190.39,EBS,st1 volumes archive
Security-Ops,lam-017a794,2026-06,0.0,0.0,3830770,27.01,Lambda,Image resizer
Partner-Integration,rds-1042178,2026-06,920.8,639.4,0,1822.4,RDS,db.r5.large PostgreSQL replica
Security-Ops,sm-08a6920,2026-06,0.0,0.0,1226781,4.91,Secrets Manager,Application secrets
Compliance-Audit,sns-0c1d686,2026-06,0.0,0.0,11829747,5.91,SNS,Alert notifications
Edge-Network,ecs-031f111,2026-06,286.6,0.0,0,523.0,ECS,Fargate worker cluster
