project.id,resource.name,usage_start_time,usage.amount_compute,usage.amount_storage,usage.amount_api,cost,service.description,sku.description
Internal-Tools,gcs-10b6998,2026-06,0.0,2354.8,1177355,364.98,Cloud Storage,Model artifacts
Customer-Portal,gcf-0b90135,2026-06,0.0,0.0,20007176,300.1,Cloud Functions,Pub/Sub processors
Marketing-Platform,vai-0ae7409,2026-06,653.0,0.0,0,3265.11,Vertex AI,Training pipelines
Data-Science,csp-096a716,2026-06,582.5,80.9,40456544,3544.0,Cloud Spanner,Global transaction DB
Staging-Env,vai-094d369,2026-06,569.0,0.0,0,2845.13,Vertex AI,Training pipelines
Partner-Integration,gcs-0f81901,2026-06,0.0,19542.4,48854,195.42,Cloud Storage,Archive bucket
Data-Science,gcf-0117841,2026-06,0.0,0.0,10416787,156.25,Cloud Functions,Auth handlers
Staging-Env,df-080d892,2026-06,625.6,0.0,0,1522.24,Dataflow,Streaming pipeline
Internal-Tools,gcs-0a02698,2026-06,0.0,468.5,7498545,86.71,Cloud Storage,Temp processing bucket
Production-Main,cmon-0696406,2026-06,0.0,0.0,20647007,165.18,Cloud Monitoring,Metrics and alerting
Marketing-Platform,gke-110b932,2026-06,3655.0,0.0,0,7309.89,GKE,GPU node pool
Customer-Portal,csql-027c570,2026-06,987.5,274.3,0,1186.35,Cloud SQL,PostgreSQL replica
IoT-Platform,bq-0d7b721,2026-06,0.0,1982.0,0,792.78,BigQuery,Data export queries
Customer-Portal,clog-0274116,2026-06,0.0,580.7,0,145.19,Cloud Logging,Application logs
Edge-Network,df-098c180,2026-06,642.8,0.0,0,1564.03,Dataflow,Streaming pipeline
Data-Science,gcf-0cd0636,2026-06,0.0,0.0,20450693,306.76,Cloud Functions,Pub/Sub processors
IoT-Platform,mem-0d64683,2026-06,759.5,0.0,0,546.91,Memorystore,Redis production cache
Finance-Systems,gcf-1015168,2026-06,0.0,0.0,8188910,122.83,Cloud Functions,Auth handlers
Marketing-Platform,gke-0c87458,2026-06,1816.9,0.0,0,3633.76,GKE,ML training cluster
Finance-Systems,gcf-0517299,2026-06,0.0,0.0,8748275,131.22,Cloud Functions,Auth handlers
Staging-Env,fs-0f41779,2026-06,1204.4,83.6,50180801,689.98,Firestore,User profiles DB
Finance-Systems,gcf-0b69780,2026-06,0.0,0.0,12673195,190.09,Cloud Functions,Data triggers
Security-Ops,ps-0ff9385,2026-06,0.0,0.0,29159969,364.5,Pub/Sub,Event streaming
Edge-Network,ps-0791593,2026-06,0.0,0.0,46282417,578.53,Pub/Sub,Log forwarding
Security-Ops,ps-0eca484,2026-06,0.0,0.0,31712772,396.41,Pub/Sub,Event streaming
Data-Science,clog-0f05447,2026-06,0.0,536.0,0,134.01,Cloud Logging,Application logs
Finance-Systems,gcs-0589860,2026-06,0.0,387.9,6206187,71.75,Cloud Storage,Temp processing bucket
Edge-Network,cmon-040a287,2026-06,0.0,0.0,26638255,213.11,Cloud Monitoring,Metrics and alerting
Edge-Network,bq-0476620,2026-06,0.0,5988.5,0,2395.42,BigQuery,Log analytics
Finance-Systems,gcs-0852873,2026-06,0.0,10682.1,3560699,320.46,Cloud Storage,Data lake bucket
Staging-Env,bq-0f5b837,2026-06,0.0,5294.9,0,2117.94,BigQuery,Log analytics
Finance-Systems,csql-0eba390,2026-06,658.2,182.9,0,790.84,Cloud SQL,PostgreSQL replica
Data-Science,gcf-0b1b828,2026-06,0.0,0.0,10345746,155.19,Cloud Functions,Auth handlers
Production-Main,vai-0775922,2026-06,749.8,0.0,8330123,1624.37,Vertex AI,Model serving endpoints
Finance-Systems,gcf-0239796,2026-06,0.0,0.0,14799620,221.99,Cloud Functions,Data triggers
Finance-Systems,cr-086d481,2026-06,571.9,0.0,2382794,743.43,Cloud Run,ETL pipeline service
IoT-Platform,fs-064b410,2026-06,1037.8,28.8,72070696,756.75,Firestore,Session store
Analytics-Platform,vai-0b7a724,2026-06,210.0,0.0,0,1050.27,Vertex AI,AutoML jobs
Production-Main,csql-109c812,2026-06,791.4,549.6,0,1560.79,Cloud SQL,MySQL analytics
Production-Secondary,ps-1180924,2026-06,0.0,0.0,12892463,161.15,Pub/Sub,Data pipeline
Partner-Integration,vai-03b5957,2026-06,225.8,0.0,0,1129.17,Vertex AI,AutoML jobs
Marketing-Platform,vai-0c18574,2026-06,249.2,0.0,0,1245.73,Vertex AI,AutoML jobs
Analytics-Platform,clog-0e12229,2026-06,0.0,468.5,0,117.13,Cloud Logging,Application logs
Marketing-Platform,gke-1057959,2026-06,2197.4,0.0,0,4394.86,GKE,ML training cluster
Staging-Env,fs-109d158,2026-06,789.4,54.8,32891026,452.25,Firestore,User profiles DB
Shared-Services,gcs-06aa524,2026-06,0.0,7574.9,189372,174.23,Cloud Storage,Backup bucket
Production-Secondary,csql-008e810,2026-06,620.6,430.9,0,1223.87,Cloud SQL,MySQL analytics
Finance-Systems,gcf-0ebd850,2026-06,0.0,0.0,11801287,177.01,Cloud Functions,Data triggers
Finance-Systems,cr-0fbf375,2026-06,508.3,0.0,2117908,660.79,Cloud Run,ETL pipeline service
Internal-Tools,gcs-0985887,2026-06,0.0,19818.4,6606142,594.55,Cloud Storage,Data lake bucket
Analytics-Platform,bq-0a93447,2026-06,0.0,2082.5,0,833.0,BigQuery,BI reporting views
Analytics-Platform,clog-0d3f486,2026-06,0.0,415.0,0,103.76,Cloud Logging,Application logs
Staging-Env,bq-00fd332,2026-06,0.0,2017.0,0,806.79,BigQuery,Data export queries
Marketing-Platform,gke-01f1963,2026-06,2415.4,0.0,0,4830.9,GKE,ML training cluster
Production-Secondary,vai-078b500,2026-06,238.5,0.0,0,1192.58,Vertex AI,AutoML jobs
Marketing-Platform,vai-0675764,2026-06,555.0,0.0,6166428,1202.45,Vertex AI,Model serving endpoints
Data-Science,gcs-0a7b183,2026-06,0.0,9116.1,227903,209.66,Cloud Storage,Backup bucket
Edge-Network,csql-04c4474,2026-06,893.2,248.1,0,1073.03,Cloud SQL,PostgreSQL replica
Analytics-Platform,bq-0616922,2026-06,0.0,16925.7,0,6770.3,BigQuery,ML training datasets
Internal-Tools,gcs-08ae795,2026-06,0.0,2076.9,1038428,321.91,Cloud Storage,Model artifacts
Data-Science,cr-0124770,2026-06,316.7,0.0,1319789,274.52,Cloud Run,Image processor
Analytics-Platform,gcs-067a623,2026-06,0.0,2491.9,2491939,180.66,Cloud Storage,Media assets bucket
Customer-Portal,df-027d947,2026-06,655.2,0.0,0,1594.29,Dataflow,Streaming pipeline
Partner-Integration,vai-0eb9357,2026-06,598.0,0.0,0,2990.18,Vertex AI,Training pipelines
Data-Science,gcs-043a104,2026-06,0.0,610.4,9765729,112.91,Cloud Storage,Temp processing bucket
Internal-Tools,cr-02e1655,2026-06,501.7,0.0,4180876,434.81,Cloud Run,Webhook handler
IoT-Platform,mem-1148803,2026-06,833.2,0.0,0,599.96,Memorystore,Redis production cache
Partner-Integration,vai-1105921,2026-06,232.8,0.0,0,1164.28,Vertex AI,AutoML jobs
Finance-Systems,clog-0eff840,2026-06,0.0,211.8,0,52.98,Cloud Logging,Audit logs
Analytics-Platform,gcs-0b65524,2026-06,0.0,10315.4,257884,237.26,Cloud Storage,Backup bucket
Security-Ops,cmon-0fde210,2026-06,0.0,0.0,24232056,193.86,Cloud Monitoring,Metrics and alerting
Security-Ops,bq-0e63979,2026-06,0.0,1602.0,0,640.82,BigQuery,BI reporting views
Analytics-Platform,bq-0c50327,2026-06,0.0,11535.6,0,4614.23,BigQuery,Analytics data warehouse
Production-Secondary,csql-0951252,2026-06,553.3,384.1,0,1091.07,Cloud SQL,MySQL analytics
Analytics-Platform,gke-00b6558,2026-06,575.2,0.0,0,1725.54,GKE,Batch processing cluster
Internal-Tools,cr-0d34819,2026-06,343.6,0.0,1431542,297.76,Cloud Run,Image processor
Production-Secondary,csql-10cf442,2026-06,740.1,205.5,0,889.11,Cloud SQL,PostgreSQL replica
Staging-Env,gcf-07b9875,2026-06,0.0,0.0,5610754,84.17,Cloud Functions,Auth handlers
Edge-Network,csql-05ea238,2026-06,763.6,212.1,0,917.32,Cloud SQL,PostgreSQL replica
Data-Science,gcf-0d9b819,2026-06,0.0,0.0,9568468,143.53,Cloud Functions,Auth handlers
Internal-Tools,cr-03f4389,2026-06,617.5,0.0,2572907,802.75,Cloud Run,ETL pipeline service
IoT-Platform,gke-035b126,2026-06,426.9,0.0,0,1280.6,GKE,Batch processing cluster
Finance-Systems,cr-0b1c943,2026-06,605.5,0.0,2522747,787.09,Cloud Run,ETL pipeline service
Staging-Env,gcs-072b621,2026-06,0.0,11942.0,3980704,358.27,Cloud Storage,Data lake bucket
Finance-Systems,gcf-06da891,2026-06,0.0,0.0,9623152,144.34,Cloud Functions,Auth handlers
Production-Secondary,mem-0c26642,2026-06,635.7,0.0,0,457.69,Memorystore,Redis production cache
IoT-Platform,gke-035e159,2026-06,2689.1,0.0,0,5378.3,GKE,ML training cluster
Customer-Portal,ps-096d972,2026-06,0.0,0.0,40475994,505.95,Pub/Sub,Log forwarding
Edge-Network,bq-0300179,2026-06,0.0,7219.9,0,2887.94,BigQuery,Analytics data warehouse
Staging-Env,gcs-1188613,2026-06,0.0,13556.4,4518846,406.7,Cloud Storage,Data lake bucket
Analytics-Platform,bq-0d5b922,2026-06,0.0,15223.8,0,6089.53,BigQuery,ML training datasets
Security-Ops,ps-093e830,2026-06,0.0,0.0,33408352,417.6,Pub/Sub,Event streaming
Production-Main,gcf-0741711,2026-06,0.0,0.0,15834646,237.52,Cloud Functions,Pub/Sub processors
Finance-Systems,gcs-0d31493,2026-06,0.0,454.1,7265376,84.0,Cloud Storage,Temp processing bucket
Production-Main,gcs-0601678,2026-06,0.0,16917.6,5639197,507.53,Cloud Storage,Data lake bucket
IoT-Platform,bq-0ca5217,2026-06,0.0,1647.4,0,658.95,BigQuery,Data export queries
Data-Science,bq-0cfe536,2026-06,0.0,3203.9,0,1281.56,BigQuery,Log analytics
Edge-Network,ps-0df6327,2026-06,0.0,0.0,20173204,252.16,Pub/Sub,Event streaming
Marketing-Platform,vai-081a178,2026-06,584.7,0.0,0,2923.13,Vertex AI,Training pipelines
Staging-Env,vai-08eb520,2026-06,581.1,0.0,0,2905.45,Vertex AI,Training pipelines
Marketing-Platform,gke-0472798,2026-06,4423.4,0.0,0,8846.75,GKE,GPU node pool
Staging-Env,df-0e86737,2026-06,702.1,0.0,0,1708.46,Dataflow,Streaming pipeline
Data-Science,bq-0c86405,2026-06,0.0,1608.2,0,643.3,BigQuery,BI reporting views
Internal-Tools,gcs-02db399,2026-06,0.0,24654.8,61636,246.55,Cloud Storage,Archive bucket
IoT-Platform,bq-0ece462,2026-06,0.0,2646.6,0,1058.64,BigQuery,BI reporting views
Finance-Systems,gcf-068b670,2026-06,0.0,0.0,15331367,229.97,Cloud Functions,Data triggers
Internal-Tools,gcs-0a11938,2026-06,0.0,373.0,5968912,69.02,Cloud Storage,Temp processing bucket
Marketing-Platform,ca-0c19747,2026-06,0.0,0.0,57936734,217.25,Cloud Armor,WAF policies
Analytics-Platform,cr-0a15445,2026-06,489.5,0.0,2039532,636.34,Cloud Run,ETL pipeline service
Staging-Env,gcs-085e743,2026-06,0.0,17814.5,44535,178.15,Cloud Storage,Archive bucket
Analytics-Platform,bq-0ad8962,2026-06,0.0,10300.8,0,4120.33,BigQuery,Analytics data warehouse
Production-Secondary,csql-090a778,2026-06,684.2,475.0,0,1349.25,Cloud SQL,MySQL analytics
Staging-Env,gke-0109701,2026-06,2941.2,0.0,0,5882.39,GKE,ML training cluster
IoT-Platform,bq-069d685,2026-06,0.0,2772.8,0,1109.14,BigQuery,BI reporting views
Customer-Portal,ps-0280184,2026-06,0.0,0.0,47679664,596.0,Pub/Sub,Log forwarding
Data-Science,gke-0f9c745,2026-06,2597.0,0.0,0,5193.87,GKE,GPU node pool
Internal-Tools,vai-02e9702,2026-06,912.6,0.0,10139935,1977.29,Vertex AI,Model serving endpoints
Partner-Integration,gcs-1012851,2026-06,0.0,21382.5,53454,213.82,Cloud Storage,Archive bucket
Edge-Network,gke-05bf119,2026-06,2605.5,0.0,0,5210.96,GKE,ML training cluster
IoT-Platform,cr-05db884,2026-06,732.8,0.0,15266036,1099.15,Cloud Run,API gateway service
Staging-Env,cdns-03f7306,2026-06,0.0,0.0,24195497,36.29,Cloud DNS,DNS zones
IoT-Platform,cdns-0ca6353,2026-06,0.0,0.0,14592051,21.89,Cloud DNS,DNS zones
Analytics-Platform,gcs-1154713,2026-06,0.0,10044.7,251115,231.03,Cloud Storage,Backup bucket
Production-Secondary,fs-0c72951,2026-06,881.8,24.5,61238155,643.0,Firestore,Session store
Customer-Portal,bq-0e0f473,2026-06,0.0,993.1,0,397.26,BigQuery,Data export queries
Staging-Env,gcs-046f674,2026-06,0.0,11525.6,3841890,345.77,Cloud Storage,Data lake bucket
Staging-Env,bq-09f5742,2026-06,0.0,1916.3,0,766.52,BigQuery,BI reporting views
IoT-Platform,cr-086e266,2026-06,488.9,0.0,4074305,423.73,Cloud Run,Webhook handler
Data-Science,vai-0128802,2026-06,369.4,0.0,0,1846.92,Vertex AI,Training pipelines
Customer-Portal,ca-0278283,2026-06,0.0,0.0,126431738,474.12,Cloud Armor,WAF policies
Customer-Portal,gcs-0b71914,2026-06,0.0,20328.4,50819,203.29,Cloud Storage,Archive bucket
Internal-Tools,gke-0e78642,2026-06,667.0,0.0,0,2001.05,GKE,Batch processing cluster
Edge-Network,gke-0b84982,2026-06,2072.6,0.0,0,4145.28,GKE,ML training cluster
Customer-Portal,bq-0270967,2026-06,0.0,1085.5,0,434.21,BigQuery,Data export queries
Marketing-Platform,ps-0ef1751,2026-06,0.0,0.0,18150273,226.88,Pub/Sub,Data pipeline
Staging-Env,fs-0546802,2026-06,1068.4,74.2,44516035,612.09,Firestore,User profiles DB
Internal-Tools,gke-0f18163,2026-06,767.4,0.0,0,2302.2,GKE,Production API cluster
Analytics-Platform,gke-0af9529,2026-06,4772.2,0.0,0,9544.44,GKE,GPU node pool
Marketing-Platform,gke-090f342,2026-06,3928.8,0.0,0,7857.65,GKE,GPU node pool
Production-Main,cmon-0931564,2026-06,0.0,0.0,24255649,194.04,Cloud Monitoring,Metrics and alerting
IoT-Platform,cr-0b18689,2026-06,431.8,0.0,1799034,561.3,Cloud Run,ETL pipeline service
Security-Ops,cr-0175685,2026-06,320.7,0.0,1336334,277.96,Cloud Run,Image processor
IoT-Platform,gcs-0b0f310,2026-06,0.0,11180.2,3726714,335.4,Cloud Storage,Data lake bucket
Finance-Systems,csql-077d497,2026-06,654.8,181.9,0,786.65,Cloud SQL,PostgreSQL replica
IoT-Platform,gke-0763978,2026-06,527.5,0.0,0,1582.38,GKE,Batch processing cluster
IoT-Platform,bq-04e5220,2026-06,0.0,3196.5,0,1278.61,BigQuery,BI reporting views
Production-Secondary,ps-096f870,2026-06,0.0,0.0,14383574,179.79,Pub/Sub,Data pipeline
Production-Secondary,vai-0599285,2026-06,251.3,0.0,0,1256.74,Vertex AI,AutoML jobs
IoT-Platform,cr-080a213,2026-06,524.5,0.0,2185246,681.79,Cloud Run,ETL pipeline service
Analytics-Platform,vai-060a544,2026-06,206.6,0.0,0,1033.02,Vertex AI,AutoML jobs
Data-Science,gcf-0115177,2026-06,0.0,0.0,20556639,308.35,Cloud Functions,Pub/Sub processors
IoT-Platform,gke-0c09866,2026-06,390.8,0.0,0,1172.31,GKE,Batch processing cluster
Analytics-Platform,vai-09f9353,2026-06,207.8,0.0,0,1039.11,Vertex AI,AutoML jobs
Security-Ops,cdns-0c4d441,2026-06,0.0,0.0,23551402,35.32,Cloud DNS,DNS zones
Internal-Tools,gcs-02dd272,2026-06,0.0,2152.7,1076326,333.66,Cloud Storage,Model artifacts
Edge-Network,vai-10c7891,2026-06,642.7,0.0,7142352,1392.76,Vertex AI,Model serving endpoints
Data-Science,gcs-0113379,2026-06,0.0,535.8,8572773,99.12,Cloud Storage,Temp processing bucket
Data-Science,gcf-07e4298,2026-06,0.0,0.0,10284723,154.27,Cloud Functions,Auth handlers
Staging-Env,ps-1034885,2026-06,0.0,0.0,14404629,180.06,Pub/Sub,Data pipeline
Staging-Env,bq-0438561,2026-06,0.0,1869.8,0,747.92,BigQuery,BI reporting views
Data-Science,csql-011b368,2026-06,881.5,244.9,0,1416.28,Cloud SQL,PostgreSQL primary
IoT-Platform,cr-0351276,2026-06,282.8,0.0,1178249,245.08,Cloud Run,Image processor
Production-Main,clog-0050175,2026-06,0.0,279.5,0,69.86,Cloud Logging,Audit logs
Partner-Integration,vai-1112432,2026-06,601.6,0.0,0,3007.99,Vertex AI,Training pipelines
Analytics-Platform,mem-00bb357,2026-06,320.3,0.0,0,230.6,Memorystore,Redis staging cache
Finance-Systems,csql-05a8505,2026-06,630.0,175.0,0,1012.28,Cloud SQL,PostgreSQL primary
Production-Main,cdns-0891333,2026-06,0.0,0.0,16699053,25.05,Cloud DNS,DNS zones
Analytics-Platform,bq-07cd619,2026-06,0.0,19397.4,0,7759.0,BigQuery,ML training datasets
Partner-Integration,gke-06ef417,2026-06,649.9,0.0,0,1949.71,GKE,Production API cluster
Analytics-Platform,cr-090d817,2026-06,496.6,0.0,2069095,645.56,Cloud Run,ETL pipeline service
IoT-Platform,bq-067b487,2026-06,0.0,3627.8,0,1451.13,BigQuery,BI reporting views
Data-Science,bq-011f575,2026-06,0.0,1717.2,0,686.87,BigQuery,Data export queries
Production-Secondary,ps-009c434,2026-06,0.0,0.0,12722432,159.03,Pub/Sub,Data pipeline
Marketing-Platform,ps-0bf5968,2026-06,0.0,0.0,47635151,595.44,Pub/Sub,Log forwarding
Production-Main,cmon-0871829,2026-06,0.0,0.0,27305041,218.44,Cloud Monitoring,Metrics and alerting
Analytics-Platform,csql-0e94250,2026-06,655.7,182.1,0,787.75,Cloud SQL,PostgreSQL replica
Analytics-Platform,fs-0559899,2026-06,1054.4,29.3,73226943,768.88,Firestore,Session store
Data-Science,mem-0e29480,2026-06,322.2,0.0,0,232.0,Memorystore,Redis staging cache
Finance-Systems,gcf-0236582,2026-06,0.0,0.0,9530868,142.96,Cloud Functions,Auth handlers
Shared-Services,gcs-04f9594,2026-06,0.0,3712.3,3712202,269.14,Cloud Storage,Media assets bucket
Shared-Services,vai-0a1b338,2026-06,275.3,0.0,0,1376.58,Vertex AI,AutoML jobs
Production-Secondary,csql-0b38645,2026-06,608.8,169.1,0,978.09,Cloud SQL,PostgreSQL primary
Edge-Network,fs-104b516,2026-06,555.5,15.4,38574763,405.03,Firestore,Session store
Finance-Systems,gcs-0e36381,2026-06,0.0,395.7,6331468,73.2,Cloud Storage,Temp processing bucket
Security-Ops,csp-016b743,2026-06,983.5,136.6,68295224,5982.66,Cloud Spanner,Global transaction DB
IoT-Platform,bq-0fc4346,2026-06,0.0,2521.7,0,1008.72,BigQuery,BI reporting views
Production-Secondary,df-0523907,2026-06,796.3,0.0,0,1937.74,Dataflow,Streaming pipeline
Marketing-Platform,csp-01fa503,2026-06,995.4,138.3,69127898,6055.6,Cloud Spanner,Global transaction DB
Edge-Network,ps-06fd572,2026-06,0.0,0.0,39683192,496.04,Pub/Sub,Log forwarding
Edge-Network,csql-106f438,2026-06,742.6,206.3,0,892.04,Cloud SQL,PostgreSQL replica
IoT-Platform,cdns-0808182,2026-06,0.0,0.0,15978418,23.96,Cloud DNS,DNS zones
Customer-Portal,ps-0982535,2026-06,0.0,0.0,8328912,104.12,Pub/Sub,Data pipeline
Security-Ops,bq-0167622,2026-06,0.0,1559.6,0,623.85,BigQuery,BI reporting views
Edge-Network,csql-093b762,2026-06,782.6,217.4,0,940.13,Cloud SQL,PostgreSQL replica
Production-Secondary,mem-0095546,2026-06,614.6,0.0,0,442.5,Memorystore,Redis production cache
Data-Science,gke-0e32687,2026-06,3835.0,0.0,0,7669.82,GKE,GPU node pool
Security-Ops,bq-0c2f971,2026-06,0.0,1588.8,0,635.55,BigQuery,BI reporting views
Data-Science,gcf-09ab546,2026-06,0.0,0.0,9607972,144.12,Cloud Functions,Auth handlers
Internal-Tools,gcs-0489208,2026-06,0.0,407.8,6525723,75.46,Cloud Storage,Temp processing bucket
Partner-Integration,gcs-1007922,2026-06,0.0,2416.3,1208160,374.53,Cloud Storage,Model artifacts
Internal-Tools,cr-046e870,2026-06,287.2,0.0,1196817,248.94,Cloud Run,Image processor
Partner-Integration,vai-0cf6544,2026-06,241.4,0.0,0,1207.02,Vertex AI,AutoML jobs
IoT-Platform,cr-0352291,2026-06,682.4,0.0,14216404,1023.58,Cloud Run,API gateway service
Customer-Portal,mem-0970602,2026-06,343.0,0.0,0,246.93,Memorystore,Redis staging cache
Analytics-Platform,gcs-0561333,2026-06,0.0,9211.7,230293,211.87,Cloud Storage,Backup bucket
Security-Ops,gke-1088434,2026-06,2769.9,0.0,0,5539.92,GKE,ML training cluster
Staging-Env,gcs-0107576,2026-06,0.0,3987.7,3987707,289.11,Cloud Storage,Media assets bucket
Analytics-Platform,fs-05fa889,2026-06,1073.4,29.8,74544020,782.71,Firestore,Session store
Security-Ops,df-0f86836,2026-06,350.3,0.0,0,852.58,Dataflow,Batch pipeline
Analytics-Platform,gcs-0d7e884,2026-06,0.0,1978.8,1978814,143.46,Cloud Storage,Media assets bucket
Security-Ops,bq-0e89270,2026-06,0.0,9935.0,0,3973.99,BigQuery,ML training datasets
Data-Science,gcs-0645888,2026-06,0.0,10035.5,250889,230.81,Cloud Storage,Backup bucket
Finance-Systems,gcs-022e492,2026-06,0.0,10571.7,3523905,317.15,Cloud Storage,Data lake bucket
Customer-Portal,mem-0ef3274,2026-06,363.1,0.0,0,261.36,Memorystore,Redis staging cache
Production-Main,cmon-0427100,2026-06,0.0,0.0,23920693,191.36,Cloud Monitoring,Metrics and alerting
Marketing-Platform,cdns-0d26589,2026-06,0.0,0.0,15292774,22.95,Cloud DNS,DNS zones
IoT-Platform,fs-034f225,2026-06,911.7,25.3,63311052,664.77,Firestore,Session store
Finance-Systems,ps-022f437,2026-06,0.0,0.0,49105186,613.81,Pub/Sub,Log forwarding
Production-Main,vai-004d787,2026-06,703.5,0.0,7816400,1524.2,Vertex AI,Model serving endpoints
Internal-Tools,cr-02e3551,2026-06,887.0,0.0,18480043,1330.56,Cloud Run,API gateway service
Data-Science,gcf-0aa7783,2026-06,0.0,0.0,13396439,200.95,Cloud Functions,Data triggers
Analytics-Platform,cr-091c564,2026-06,626.6,0.0,13054616,939.93,Cloud Run,API gateway service
Edge-Network,ps-0583674,2026-06,0.0,0.0,42251884,528.15,Pub/Sub,Log forwarding
Staging-Env,cr-010f896,2026-06,626.7,0.0,2611094,814.66,Cloud Run,ETL pipeline service
Marketing-Platform,gke-1179708,2026-06,4101.9,0.0,0,8203.73,GKE,GPU node pool
Security-Ops,bq-0ac0928,2026-06,0.0,8213.3,0,3285.31,BigQuery,Analytics data warehouse
Staging-Env,gcf-0792467,2026-06,0.0,0.0,2812500,42.18,Cloud Functions,Scheduled tasks
Finance-Systems,cr-0230163,2026-06,568.8,0.0,2369876,739.4,Cloud Run,ETL pipeline service
Production-Secondary,mem-049c168,2026-06,576.0,0.0,0,414.71,Memorystore,Redis production cache
Customer-Portal,vai-0272824,2026-06,206.9,0.0,0,1034.4,Vertex AI,AutoML jobs
Production-Secondary,fs-0de5948,2026-06,1014.3,28.2,70438517,739.61,Firestore,Session store
IoT-Platform,cmon-0355663,2026-06,0.0,0.0,31476723,251.81,Cloud Monitoring,Metrics and alerting
Internal-Tools,gcf-0f0c894,2026-06,0.0,0.0,2242034,33.62,Cloud Functions,Scheduled tasks
Customer-Portal,fs-04aa211,2026-06,885.7,61.6,36906297,507.46,Firestore,User profiles DB
Analytics-Platform,gke-0ec0794,2026-06,4635.2,0.0,0,9270.44,GKE,GPU node pool
Partner-Integration,vai-1089220,2026-06,638.1,0.0,0,3190.4,Vertex AI,Training pipelines
Marketing-Platform,vai-0787119,2026-06,633.0,0.0,0,3165.09,Vertex AI,Training pipelines
Marketing-Platform,vai-0201406,2026-06,584.4,0.0,0,2922.06,Vertex AI,Training pipelines
Marketing-Platform,gke-0da0927,2026-06,2163.4,0.0,0,4326.86,GKE,ML training cluster
Security-Ops,cmon-0171477,2026-06,0.0,0.0,21789752,174.32,Cloud Monitoring,Metrics and alerting
Security-Ops,ps-0a1e824,2026-06,0.0,0.0,31120601,389.0,Pub/Sub,Event streaming
Marketing-Platform,gcf-0c54457,2026-06,0.0,0.0,1724112,25.86,Cloud Functions,Scheduled tasks
Finance-Systems,gcf-0afd438,2026-06,0.0,0.0,13262048,198.93,Cloud Functions,Data triggers
Analytics-Platform,gcs-101b784,2026-06,0.0,8737.0,218423,200.95,Cloud Storage,Backup bucket
