SubscriptionName,ResourceId,BillingMonth,Quantity_Compute,Quantity_Storage,Quantity_API,CostInBillingCurrency,ConsumedService,MeterName
DevOps-Central,ado-00e2292,2026-06,0.0,98.9,0,24.73,Azure DevOps,Artifacts storage
DevOps-Central,redis-0b8c869,2026-06,943.5,0.0,0,1147.94,Azure Cache for Redis,Premium P1 cache
Shared-Services,fd-0ecb547,2026-06,0.0,0.0,81407209,610.57,Front Door,Global load balancer
Production-Main,eh-0bee571,2026-06,632.6,0.0,26357657,288.62,Event Hubs,Standard throughput units
DR-Recovery,cosmos-04b4890,2026-06,910.7,63.2,18971760,616.58,Cosmos DB,Config store
DevOps-Central,azmon-0b5a859,2026-06,0.0,322.4,42992379,456.8,Azure Monitor,Logs and metrics
Data-Science,cosmos-0de3347,2026-06,797.1,221.4,44285650,1799.1,Cosmos DB,User data store
Customer-Portal,eh-067c886,2026-06,0.0,606.7,0,151.67,Event Hubs,Capture to storage
Finance-Systems,aks-0bf9833,2026-06,248.0,0.0,0,372.02,AKS,Dev K8s cluster
Security-Ops,vm-0f8c889,2026-06,712.8,0.0,0,433.59,Virtual Machines,D2s v3 utility server
Customer-Portal,blob-0442236,2026-06,0.0,5391.0,0,539.1,Blob Storage,Security audit logs
Analytics-Platform,aks-059f313,2026-06,1321.0,0.0,0,1981.52,AKS,Staging K8s cluster
Customer-Portal,blob-0c4e917,2026-06,0.0,4813.1,0,481.31,Blob Storage,Security audit logs
Production-Main,eh-0026187,2026-06,0.0,681.4,0,170.36,Event Hubs,Capture to storage
Customer-Portal,appi-0257485,2026-06,0.0,0.0,40222616,502.78,Application Insights,APM telemetry
DevOps-Central,vm-0814453,2026-06,637.2,0.0,0,193.81,Virtual Machines,B2s development VM
Production-Secondary,redis-0801574,2026-06,1074.1,0.0,0,544.5,Azure Cache for Redis,Standard C2 cache
Finance-Systems,ado-0e52241,2026-06,542.7,0.0,0,271.34,Azure DevOps,Pipelines hosted
Finance-Systems,sentinel-07b4432,2026-06,0.0,0.0,110275395,2756.88,Microsoft Sentinel,SIEM detection
Production-Secondary,sentinel-0502751,2026-06,0.0,0.0,64363410,1609.08,Microsoft Sentinel,SIEM detection
Customer-Portal,func-0958195,2026-06,0.0,0.0,2565528,38.48,Azure Functions,Webhook processor
Finance-Systems,kv-0563504,2026-06,0.0,0.0,2884438,8.66,Key Vault,Secrets management
Partner-Integration,azmon-0cc4223,2026-06,0.0,201.3,26843351,285.22,Azure Monitor,Logs and metrics
Data-Science,blob-0d32531,2026-06,0.0,2485.6,6628428,323.13,Blob Storage,Build artifacts
Production-Secondary,blob-04dd841,2026-06,0.0,11779.5,29448,94.24,Blob Storage,Archive tier
Customer-Portal,redis-0260701,2026-06,909.5,0.0,0,461.09,Azure Cache for Redis,Standard C2 cache
Production-Secondary,sqldb-04d6752,2026-06,531.4,184.6,0,889.24,SQL Database,Standard S3 production
Finance-Systems,sb-093d809,2026-06,0.0,0.0,25709871,64.27,Service Bus,Standard messaging
Partner-Integration,sb-03ab945,2026-06,727.3,0.0,10101774,553.07,Service Bus,Premium messaging
DevOps-Central,appi-00d4852,2026-06,0.0,0.0,66129801,826.62,Application Insights,APM telemetry
Security-Ops,eh-08a0504,2026-06,0.0,399.7,0,99.94,Event Hubs,Capture to storage
DevOps-Central,azmon-061e582,2026-06,0.0,321.3,42850636,455.29,Azure Monitor,Logs and metrics
DR-Recovery,appi-07b6956,2026-06,0.0,0.0,19502659,243.79,Application Insights,Custom metrics
Shared-Services,ado-078c824,2026-06,0.0,84.6,0,21.15,Azure DevOps,Artifacts storage
