Account_Name,Resource_ID,Cloud_Provider,Billing_Period,Compute_Hours,Storage_GB_Used,API_Requests,Total_Charge,Service_Name,Description
Mobile-Backend,ebs-0ab8278,AWS,2026-05,0.0,3224.0,0,146.37,EBS,st1 volumes archive
Internal-Tools,gcs-10b6998,GCP,2026-05,0.0,2226.0,1097451,346.82,Cloud Storage,Model artifacts
Customer-Portal,gcf-0b90135,GCP,2026-05,0.0,0.0,18749128,284.57,Cloud Functions,Pub/Sub processors
Data-Science,cf-0140766,AWS,2026-05,0.0,0.0,103915709,510.21,CloudFront,CDN web distribution
Security-Ops,ebs-0bcb202,AWS,2026-05,0.0,4541.2,0,200.37,EBS,st1 volumes archive
Marketing-Platform,vai-0ae7409,GCP,2026-05,611.9,0.0,0,3119.3,Vertex AI,Training pipelines
Data-Science,csp-096a716,GCP,2026-05,558.0,76.9,38417349,3302.29,Cloud Spanner,Global transaction DB
Marketing-Platform,rs-0483517,AWS,2026-05,601.4,1709.0,0,3046.09,Redshift,Data warehouse cluster
Production-Main,sns-114a513,AWS,2026-05,0.0,0.0,6342237,3.1,SNS,Alert notifications
Security-Ops,s3-017f436,AWS,2026-05,0.0,16246.7,3324978,575.76,S3,Data lake raw zone
DevOps-Central,ado-00e2292,AZURE,2026-05,0.0,95.1,0,23.13,Azure DevOps,Artifacts storage
DevOps-Central,redis-0b8c869,AZURE,2026-05,904.0,0.0,0,1065.78,Azure Cache for Redis,Premium P1 cache
Internal-Tools,rds-0f84794,AWS,2026-05,938.4,1316.2,0,4046.91,RDS,db.r5.2xlarge Aurora cluster
DevOps-Central,kin-09fd183,AWS,2026-05,912.4,0.0,25137261,358.57,Kinesis,Firehose delivery
Staging-Env,vai-094d369,GCP,2026-05,547.2,0.0,0,2711.96,Vertex AI,Training pipelines
Internal-Tools,sqs-1090601,AWS,2026-05,0.0,0.0,58293549,28.0,SQS,Order processing queue
Shared-Services,fd-0ecb547,AZURE,2026-05,0.0,0.0,77231632,568.03,Front Door,Global load balancer
Mobile-Backend,ebs-0ed8926,AWS,2026-05,0.0,2737.4,0,120.14,EBS,st1 volumes archive
Partner-Integration,rds-09ee347,AWS,2026-05,800.3,560.5,0,1598.83,RDS,db.r5.large PostgreSQL replica
DevOps-Central,sm-00d1740,AWS,2026-05,0.0,0.0,1182511,4.73,Secrets Manager,Application secrets
Production-Secondary,ecs-0b92760,AWS,2026-05,477.9,0.0,0,855.44,ECS,Fargate API cluster
Production-Main,eh-0bee571,AZURE,2026-05,606.1,0.0,25176277,265.92,Event Hubs,Standard throughput units
Production-Secondary,nat-0083744,AWS,2026-05,663.2,0.0,0,155.27,NAT Gateway,Staging VPC NAT
Partner-Integration,gcs-0f81901,GCP,2026-05,0.0,18631.5,46700,183.08,Cloud Storage,Archive bucket
DR-Recovery,cosmos-04b4890,AZURE,2026-05,880.2,60.2,17998008,569.73,Cosmos DB,Config store
Data-Science,gcf-0117841,GCP,2026-05,0.0,0.0,9696674,144.91,Cloud Functions,Auth handlers
Marketing-Platform,i-01e6426,AWS,2026-05,889.7,0.0,0,65.23,EC2,t3.micro bastion host
